id_uji,suhu_operasi_c,tekanan_bar,kecepatan_rpm,getaran_rms
M01,45.2,4.8,1480,1.25
M02,48.0,4.9,1490,1.38
M03,50.5,5.0,1500,1.45
M04,52.3,5.1,1510,1.58
M05,55.1,5.2,1505,1.72
M06,58.4,5.3,1515,1.89
M07,60.0,5.4,1520,1.98
M08,63.2,5.5,1525,2.15
M09,65.8,5.6,1530,2.30
M10,68.0,5.7,1535,2.44
M11,70.5,5.8,1540,2.58
M12,73.1,5.9,1545,2.75
M13,75.0,6.0,1550,2.88
M14,78.2,6.1,1555,3.06
M15,80.5,6.2,1560,3.22
M16,83.0,6.3,1565,3.38
M17,85.4,6.4,1570,3.54
M18,88.1,6.5,1575,3.71
M19,90.2,6.6,1580,3.85
M20,93.5,6.7,1585,4.05
M21,95.0,6.8,1590,4.18
M22,98.2,6.9,1595,4.36
M23,100.4,7.0,1600,4.52
M24,103.0,7.1,1605,4.68
M25,105.5,7.2,1610,4.85
