id_sampel,umur_hari,faktor_air_semen,kuat_tekan_mpa
B01,28,0.45,34.2
B02,28,0.45,35.1
B03,28,0.45,33.8
B04,28,0.45,36.5
B05,28,0.45,34.9
B06,28,0.45,35.8
B07,28,0.45,32.4
B08,28,0.45,36.0
B09,28,0.45,35.3
B10,28,0.45,33.5
B11,28,0.50,30.2
B12,28,0.50,31.4
B13,28,0.50,29.8
B14,28,0.50,32.0
B15,28,0.50,30.5
B16,28,0.50,31.8
B17,28,0.50,29.2
B18,28,0.50,30.9
B19,28,0.50,32.5
B20,28,0.50,31.1
B21,28,0.55,27.4
B22,28,0.55,28.1
B23,28,0.55,26.9
B24,28,0.55,28.8
B25,28,0.55,27.0
B26,28,0.55,29.0
B27,28,0.55,26.5
B28,28,0.55,27.9
B29,28,0.55,28.5
B30,28,0.55,27.2
